Raw,Env
2.320475,0.5328532
2.275765,0.5328532
2.320475,0.5328532
2.231208,0.5328532
2.231208,0.5328532
2.275765,0.5328532
2.275765,0.5328532
2.365032,0.5328532
2.454298,0.5328532
2.498856,0.5328532
2.543413,0.5328532
2.543413,0.4884487
2.588122,0.5328532
2.588122,0.5328532
2.588122,0.4884487
2.632679,0.5328532
2.632679,0.5328532
2.677236,0.4884487
2.721793,0.5328532
2.721793,0.5328532
2.632679,0.5328532
2.498856,0.5328532
2.320475,0.5328532
2.142094,0.5328532
2.052828,0.5328532
1.963561,0.5328532
2.008271,0.5328532
2.097384,0.5328532
2.186651,0.5328532
2.231208,0.5328532
2.365032,0.5328532
2.454298,0.5328532
2.498856,0.5328532
2.543413,0.5328532
2.588122,0.5328532
2.498856,0.5328532
2.454298,0.5328532
2.320475,0.5328532
2.275765,0.5328532
2.275765,0.5328532
2.275765,0.5328532
2.320475,0.5328532
2.320475,0.5328532
2.320475,0.5328532
2.409589,0.5328532
2.454298,0.5328532
2.498856,0.5328532
2.543413,0.5328532
2.632679,0.5328532
2.677236,0.5328532
2.721793,0.5328532
2.632679,0.5328532
2.588122,0.5328532
2.588122,0.5328532
2.632679,0.5328532
2.677236,0.5328532
2.677236,0.5328532
2.632679,0.5328532
2.632679,0.5328532
2.588122,0.5328532
2.543413,0.5328532
2.543413,0.5328532
2.498856,0.5328532
2.498856,0.5328532
2.409589,0.5328532
2.365032,0.577105
2.275765,0.577105
2.231208,0.5328532
2.142094,0.577105
2.186651,0.577105
2.275765,0.577105
2.454298,0.577105
2.588122,0.577105
2.766503,0.577105
2.855617,0.577105
2.900326,0.577105
2.855617,0.577105
2.766503,0.577105
2.677236,0.577105
2.543413,0.577105
2.454298,0.577105
2.409589,0.577105
2.365032,0.577105
2.365032,0.577105
2.365032,0.577105
2.454298,0.577105
2.498856,0.577105
2.588122,0.577105
2.632679,0.577105
2.632679,0.577105
2.588122,0.577105
2.543413,0.577105
2.543413,0.577105
2.543413,0.6215094
2.498856,0.577105
2.498856,0.577105
2.498856,0.577105
2.454298,0.577105
2.454298,0.577105
2.409589,0.577105
2.365032,0.577105
2.275765,0.577105
2.275765,0.577105
2.275765,0.6215094
2.275765,0.577105
2.320475,0.577105
2.320475,0.577105
2.365032,0.577105
2.365032,0.577105
2.365032,0.577105
2.454298,0.577105
2.498856,0.577105
2.588122,0.577105
2.632679,0.577105
2.677236,0.577105
2.677236,0.577105
2.677236,0.577105
2.721793,0.577105
2.766503,0.577105
2.721793,0.577105
2.632679,0.577105
2.498856,0.577105
